Job Number,Filepath,Address,Date,BS7666UPRN,Easting,Northing
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\12 SUSSEX ROAD, PETERSFIELD, GU31 4JX_09-09-1985.pdf","12 SUSSEX ROAD, PETERSFIELD, GU31 4JX",09/09/85,1710030787,474793.00,122942.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\22-24 LAVANT STREET, PETERSFIELD_30-09-1986_00001.pdf","22/24 LAVANT STREET, PETERSFIELD",30/09/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\22-24 LAVANT STREET, PETERSFIELD_30-09-1986.pdf","22/24 LAVANT STREET, PETERSFIELD",30/09/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\31 PINE ROAD, FOUR MARKS, ALTON, GU34 5EZ_11-03-1998.pdf","31 PINE ROAD, FOUR MARKS, ALTON, GU34 5EZ",11/03/98,1710006516,467187.00,135246.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\55 BELL HILL, PETERSFIELD, GU32 2EQ_08-11-1985.pdf","55 BELL HILL, PETERSFIELD, GU32 2EQ",08/11/85,100060280257,474094.80,123985.40
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\6 CHAPEL STREET, PETERSFIELD, GU32 3DP_15-10-1986.pdf","6 CHAPEL STREET, PETERSFIELD, GU32 3DP",15/10/86,1710033672,474559.00,123326.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\6 WESTERN ROAD, LISS, GU33 7AG_22-03-2007.pdf","6 WESTERN ROAD, LISS, GU33 7AG",22/03/07,1710038435,477645.00,127853.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\6 WESTERN ROAD, LISS, GU33 7AG_31-07-1984.pdf","6 WESTERN ROAD, LISS, GU33 7AG",31/07/84,1710038435,477645.00,127853.00
JN24960,Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\ALTON GENERAL HOSPITAL SITE_19-09-1984.pdf,ALTON GENERAL HOSPITAL SITE,19/09/84,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\ARGYLL FARM, STEEP, PETERSFIELD_15-05-1986.pdf","ARGYLL FARM, STEEP, PETERSFIELD",15/05/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\BASINGDENE EQUESTRIAN CENTRE, ALEXANDER LANE, PRIVETT_25-10-1984.pdf","BASINGDENE EQUESTRIAN CENTRE, ALEXANDER LANE, PRIVETT",25/10/84,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\BINSTED PLACE, BINSTED, ALTON, HAMPSHIRE_05-08-1985.pdf","BINSTED PLACE, BINSTED, ALTON, HAMPSHIRE",05/08/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\BLENDWORTH LANE, BLENDWORTH, HORNDEAN_26-02-1986.pdf","BLENDWORTH LANE, BLENDWORTH, HORNDEAN",26/02/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\BORDON VILLAGE CENTRE, BORDON BAPTIST CHURCH_15-02-1984.pdf","BORDON VILLAGE CENTRE, BORDON BAPTIST CHURCH",15/02/84,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\BOROVERE LANE AND THE RIDGEWAY WINDMILL HILL, ALTON_30-10-1985.pdf","BOROVERE LANE AND THE RIDGEWAY WINDMILL HILL, ALTON",30/10/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\BOROVERE LANE, ALTON, HAMPSHIRE_07-03-1986.pdf","BOROVERE LANE, ALTON, HAMPSHIRE",07/03/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\BURITON MANOR, BURITON_16-05-1985.pdf","BURITON MANOR, BURITON",16/05/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\CANDOVERS FARM, SELBORNE, ALTON_25-06-1986.pdf","CANDOVERS FARM, SELBORNE, ALTON",25/06/86,,,
JN24960,Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\CHAPEL STREET_27-09-1985.pdf,CHAPEL STREET,27/09/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\DOWN FARM, CLANFIELD_22-05-1985.pdf","DOWN FARM, CLANFIELD",22/05/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\EAST HAMPSHIRE (GREENLAWNS, LANGRISH)_29-01-1985.pdf","EAST HAMPSHIRE (GREENLAWNS, LANGRISH)",29/01/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\EVELY HOUSE, STANDFORD, HEADLEY_24-05-1985.pdf","EVELY HOUSE, STANDFORD, HEADLEY",24/05/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\FARM BUILDINGS, VINNELLS FARM, BROADWAY, FROXFIELD_08-09-1986.pdf","FARM BUILDINGS, VINNELLS FARM, BROADWAY, FROXFIELD",08/09/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\FORGE FARM, WHEATLEY LANE, BINSTED_07-03-1985.pdf","FORGE FARM, WHEATLEY LANE, BINSTED",07/03/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\FORMER PETERSFIELD PRIMARY SCHOOL, HYLTON ROAD, PETERSFIELD_20-05-1985.pdf","FORMER PETERSFIELD PRIMARY SCHOOL, HYLTON ROAD, PETERSFIELD",20/05/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\FRITH END, BORDON_08-03-1984.pdf","FRITH END, BORDON",08/03/84,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\HEATH LODGE, SUSSEX ROAD, PETERSFIELD_10-12-1986.pdf","HEATH LODGE, SUSSEX ROAD, PETERSFIELD",10/12/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\HOLLY COTTAGE, REDWOOD LANE, MEDSTEAD_14-05-1986.pdf","HOLLY COTTAGE, REDWOOD LANE, MEDSTEAD",14/05/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LAND ADJACENT TO BRICKYARD COTTAGES, STEEP MARSH, PETERSFIELD_16-05-1986.pdf","LAND ADJACENT TO BRICKYARD COTTAGES, STEEP MARSH, PETERSFIELD",16/05/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LAND ADJACENT TO LADY PLACE CAR PARK, ALTON, HAMPSHIRE_31-10-1985.pdf","LAND ADJACENT TO LADY PLACE CAR PARK, ALTON, HAMPSHIRE",31/10/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LAND ADJACENT TO MEADOWSWEET, CATHERINGTON LITH, HORNDEAN_25-07-1986.pdf","LAND ADJACENT TO MEADOWSWEET, CATHERINGTON LITH, HORNDEAN",25/07/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LAND AT ENSLEIGH AND LAND ADJACENT TO PIGEON HOLE, CROSSWAYS ROAD, GRAYSHOTT_05-08-1986.pdf","LAND AT ENSLEIGH AND LAND ADJACENT TO PIGEON HOLE, CROSSWAYS ROAD, GRAYSHOTT",05/08/86,,,
JN24960,Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LAND AT HORNDEAN 'B'_11-05-1984.pdf,LAND AT HORNDEAN 'B',11/05/84,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LAND AT REAR OF 55 WINCHESTER ROAD, FOUR MARKS_20-06-1985.pdf","LAND AT REAR OF 55 WINCHESTER ROAD, FOUR MARKS",20/06/85,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LAND AT REAR OF POLICE STATION, HYLTON ROAD, PETERSFIELD_15-09-1986.pdf","LAND AT REAR OF POLICE STATION, HYLTON ROAD, PETERSFIELD",15/09/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LAND AT THE REAR OF 8 AND 10 CHAPEL STREET, PETERSFIELD_17-06-1986.pdf","LAND AT THE REAR OF 8 AND 10 CHAPEL STREET, PETERSFIELD",17/06/86,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LEASIDE, WINCHESTER ROAD, ROPLEY_16-05-1986.pdf","LEASIDE, WINCHESTER ROAD, ROPLEY",16/05/86,,,
JN24960,Box 01_Client Box 01\Section 52 Agreement Feb 84-Dec 86 4\LONDON ROAD A3_00-01-1985.pdf,LONDON ROAD A3,00/01/1985,,,
