Job Number,Filepath,Planning Enforcement Reference Number,Address,Date,Document Type,BS7666UPRN,Easting,Northing
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\4 SUSSEX ROAD, PETERSFIELD_PT-SN-12-9-109.pdf",PT/SN/12/9/109,"4 SUSSEX ROAD, PETERSFIELD",17/12/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Churchfield Farm, Sheet, Petersfield, GU32 2AA_TOPME-10-6.pdf",TOPME/10/6,"Churchfield Farm, Sheet, Petersfield, GU32 2AA",18/10/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\BINNS COTTAGE, OAKHANGERROAD, BORDON_PW-MK-12-9-33.pdf",PW/MK/12/9/33,"BINNS COTTAGE, OAKHANGERROAD, BORDON",10/09/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Frogmore Farm, Forgmore Lane, Horndean, PO8 9RB_PT-DLB-12-9-104.pdf",PT/DLB/12/9/104,"Frogmore Farm, Forgmore Lane, Horndean, PO8 9RB",07/09/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\KIMBERS YARD, TILMORE ROAD, PETERSFIELD_DM-JK-12-9-102.pdf",DM/JK/12/9/102,"KIMBERS YARD, TILMORE ROAD, PETERSFIELD",31/08/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Land at Firhill, Liphook Road, Whitehill In Hampshire, GU35 9DA_PT-SN-12-9-106.pdf",PT/SN/12/9/106,"Land at Firhill, Liphook Road, Whitehill In Hampshire, GU35 9DA",30/08/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\4 The Square, Horndean, PO8 9AH_PT-ME-12-9-98.pdf",PT/ME/12/9/98,"4 The Square, Horndean, PO8 9AH",21/08/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\1 Hogmoor Road, Bordon, GU35 9HL_PT-JK-12-9-95.pdf",PT/JK/12/9/95,"1 Hogmoor Road, Bordon, GU35 9HL",27/07/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\The Jays, The Dene, Winchester Road, Ropley Alresford, SO24 0BS_PT-SN-12-9-101.pdf",PT/SN/12/9/101,"The Jays, The Dene, Winchester Road, Ropley Alresford, SO24 0BS",04/07/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\SIDE OF DURFORD ROAD, PETERSFIELD_PW-MK-12-9-100.pdf",PW/MK/12/9/100,"SIDE OF DURFORD ROAD, PETERSFIELD",06/06/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\64, Downhouse Road, Horndean, Waterlooville, PO8 0TY_NM-9.pdf",NM/9,"64, Downhouse Road, Horndean, Waterlooville, PO8 0TY",30/04/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Kiln Cottage, Butser Hill, Petersfield, GU31 5SP_APP-5236-C-79-4884.pdf",APP/5236/C/79/4884,"Kiln Cottage, Butser Hill, Petersfield, GU31 5SP",23/02/1981,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\75, New Road, Clanfield, Waterlooville, PO8 0NN_KE-4-12-9.pdf",KE/4/12/9,"75, New Road, Clanfield, Waterlooville, PO8 0NN",30/04/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\2 Hogmoor Road, Bordon, GU35 9EY_N-A.pdf",N/A,"2 Hogmoor Road, Bordon, GU35 9EY",25/04/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\2, Railway Cottages, Buriton, GU31 5RT_KE-SN-12-9.pdf",KE/SN/12/9,"2, Railway Cottages, Buriton, GU31 5RT",25/04/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\The Haven, Kings Hill, Beech, Alton, GU34 4AL_KE-JK-12-9-82.pdf",KE/JK/12/9/82,"The Haven, Kings Hill, Beech, Alton, GU34 4AL",02/04/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\The Manor House, 26, Forest Road, Liss Forest, Liss, GU33 7BH_KE-DLB-12-9-90.pdf",KE/DLB/12/9/90,"The Manor House, 26, Forest Road, Liss Forest, Liss, GU33 7BH",13/03/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Magnum, Alton Lane, Four Marks, Alton, GU34 5AL_KE-DLB-12-9-89.pdf",KE/DLB/12/9/89,"Magnum, Alton Lane, Four Marks, Alton, GU34 5AL",12/03/1979,Planning Enforcement Notice,1710006284,467543,134603
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\231, Lovedean Lane, Lovedean, Waterlooville, PO8 9RX_KE-DLB-12-9-86.pdf",KE/DLB/12/9/86,"231, Lovedean Lane, Lovedean, Waterlooville, PO8 9RX",12/03/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\'Half Acre', Portsmouth Road, Bramshott Close, Hindhead, Surrey, GU26 6DE_KE-JK-12-9-93.pdf",KE/JK/12/9/93,"'Half Acre', Portsmouth Road, Bramshott Close, Hindhead, Surrey, GU26 6DE",27/02/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\The Manor House, 26 Forest Road, Liss Forest, GU33 7BH_KEVW12-9-90.pdf",KEVW12/9/90,"The Manor House, 26 Forest Road, Liss Forest, GU33 7BH",13/02/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Mornington Cottages, Mornington Road, Whitehill, Bordon, GU35 9EW_KE-JK-12-9-88.pdf",KE/JK/12/9/88,"Mornington Cottages, Mornington Road, Whitehill, Bordon, GU35 9EW",09/02/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\KILN COTTAGE BUTSER HILL, BURITON, PETERSFIELD_TGP-SN-10-6.pdf",TGP/SN/10/6,"KILN COTTAGE BUTSER HILL, BURITON, PETERSFIELD",30/11/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\69 South Road, Horndean, Hants, Waterlooville, PO8 0EW_KE-W12-9.pdf",KE/W12/9,"69 South Road, Horndean, Hants, Waterlooville, PO8 0EW",22/01/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\172 Winchester Road, Four Marks, Alton, Hants, GU34 5HZ_N-A.pdf",N/A,"172 Winchester Road, Four Marks, Alton, Hants, GU34 5HZ",13/12/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Kinches Farm, Catherington Lane, Catherington, Horndean, PO8 0TB_RL-JMP.pdf",RL/JMP,"Kinches Farm, Catherington Lane, Catherington, Horndean, PO8 0TB",13/07/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\54 Downhouse, Road Catherington, Horndean, Waterlooville, PO8 0TY_W12-9-78.pdf",W12/9/78,"54 Downhouse, Road Catherington, Horndean, Waterlooville, PO8 0TY",23/06/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Land at Crouch Lane, Catherington, Waterlooville, PO8 9SU_PW-W-12-9-75.pdf",PW/W/12/9/75,"Land at Crouch Lane, Catherington, Waterlooville, PO8 9SU",19/06/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Glen Farm, Kingsley Common, Bordon, East Hampshire, GU35 9LL_CM-SW-KARSH.pdf",CM/SW/KARSH,"Glen Farm, Kingsley Common, Bordon, East Hampshire, GU35 9LL",29/08/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Glen Farm, Kingsley Common, Kingsley, East Hampshire, GU35 9LL_W12-9-74.pdf",W12/9/74,"Glen Farm, Kingsley Common, Kingsley, East Hampshire, GU35 9LL",29/06/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\3 BLACKBERRY LANE, FOUR MARKS_APP-5236-D-77-25.pdf",APP/5236/D/77/25,"3 BLACKBERRY LANE, FOUR MARKS",19/06/1980,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\30 COLLEGE STREET, PETERSFIELD_TWA-WI2-9-72.pdf",TWA/WI2/9/72,"30 COLLEGE STREET, PETERSFIELD",17/05/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Chalk Quarry, Hucksford Lane, Idsworth, Waterlooville, PO8 0YB_PT767-TT-KE.pdf",PT767/TT/KE,"Chalk Quarry, Hucksford Lane, Idsworth, Waterlooville, PO8 0YB",02/05/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Claire Gardens, Horndean, PO8 0JH_PT-MK-12-9-111.pdf",PT/MK/12/9/111,"Claire Gardens, Horndean, PO8 0JH",26/11/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\2 SHEEP STREET, PEPERSFIELD_T-APP-5236-C-78-15731.pdf",T/APP/5236/C/78/15731,"2 SHEEP STREET, PEPERSFIELD",28/02/1979,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\AT GOATACRE ROAD, MEDSTEAD, ALTON_AAEN-12-9-70.pdf",AAEN/12/9/70,"AT GOATACRE ROAD, MEDSTEAD, ALTON",10/03/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Westward Ho, Alton Lane, Four Marks, Hampshire, GU34 5AL_POK-12-9-69.pdf",POK/12/9/69,"Westward Ho, Alton Lane, Four Marks, Hampshire, GU34 5AL",07/03/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Queens Road, Longmoor, Whitehill, GU33 6EL_PW-MK-12-9-51.pdf",PW/MK/12/9/51,"Queens Road, Longmoor, Whitehill, GU33 6EL",15/02/1978,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\The Old Brickworks, Hawkley Road, Hawkley, Liss, GU33 6JT_AAE-S-12-9-66.pdf",AAE/S/12/9/66,"The Old Brickworks, Hawkley Road, Hawkley, Liss, GU33 6JT",20/12/1977,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Shop, Park Farm, Shalden, Alton, GU34 4DS_AE S-12-9-67.pdf",AE S/12/9/67,"Shop, Park Farm, Shalden, Alton, GU34 4DS",16/11/1977,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Heatherlands, Longmoor Road, Hazledene Road, Liphook, Hampshire, GU30 7NY_SA2-9-61.pdf",SA2/9/61,"Heatherlands, Longmoor Road, Hazledene Road, Liphook, Hampshire, GU30 7NY",26/09/1977,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Lower Mead, Liphook Road, Hollywater, Bordon, GU35 9AF_PM-07010.pdf",PM/07010,"Lower Mead, Liphook Road, Hollywater, Bordon, GU35 9AF",24/08/1977,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\The Links and Marians, Old Odiham Road, Shalden, Alton, Hampshire, GU34 4BU_PW S-12-9-43.pdf",PW S/12/9/43,"The Links and Marians, Old Odiham Road, Shalden, Alton, Hampshire, GU34 4BU",16/08/1977,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Land at Arford Coachworks, Arford Common, Headley, GU35 8AD_PT-SH-12-9-64.pdf",PT/SH/12/9/64,"Land at Arford Coachworks, Arford Common, Headley, GU35 8AD",27/11/1984,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\152, Hazleton Way, Horndean, Waterlooville, PO8 9DX_PT-SN-12-9-10.pdf",PT/SN/12/9/10,"152, Hazleton Way, Horndean, Waterlooville, PO8 9DX",13/11/1979,Planning Enforcement Notice,,,
