Job Number,Filepath,Address,BS7666UPRN,Easting,Northing
JN24963,"Box 05\Ropley\Plum Tree House, Gascoigne Lane, Ropley, Alresford, SO24 0BT.pdf","Plum Tree House, Gascoigne Lane, Ropley, Alresford, SO24 0BT",100060259666,464217,132298
JN24963,"Box 01\Street No. W'Hill A-F\Meadowside, Hill Farm Road, Monkwood, Alresford, SO24 0HG.pdf","Meadowside, Hill Farm Road, Monkwood, Alresford, SO24 0HG",100060259706,466696.2,130553.7
JN24963,"Box 01\Street No. W'Hill A-F\Vindolanda, Hill Farm Road, Monkwood, Alresford, SO24 0HG.pdf","Vindolanda, Hill Farm Road, Monkwood, Alresford, SO24 0HG",100060259709,467336.5,130626.4
JN24963,"Box 05\Ropley\Vindolanda, Hill Farm Road, Monkwood, Alresford, SO24 0HG.pdf","Vindolanda, Hill Farm Road, Monkwood, Alresford, SO24 0HG",100060259709,467336.5,130626.4
JN24963,"Box 11\Street No. Four Marks\Kitwood Cottage, Kitwood Road, Ropley, Alresford, SO24 0FH.pdf","Kitwood Cottage, Kitwood Road, Ropley, Alresford, SO24 0FH",100060259718,466644,133154
JN24963,"Box 01\Street No. W'Hill A-F\Renee, Parkstone Road, Ropley, Alresford, SO24 0EP.pdf","Renee, Parkstone Road, Ropley, Alresford, SO24 0EP",100060259776,464978.5,130724.7
JN24963,"Box 01\Street No. W'Hill A-F\Oaklands Lodge, Petersfield Road, Monkwood, Alresford, SO24 0HB.pdf","Oaklands Lodge, Petersfield Road, Monkwood, Alresford, SO24 0HB",100060259841,466757.5,130934.7
JN24963,"Box 02\Street No. M'Stead Newton Valence\Sunnybox, Petersfield Road, Monkwood, Alresford, SO24 0HB.pdf","Sunnybox, Petersfield Road, Monkwood, Alresford, SO24 0HB",100060259852,466634.8,130940.2
JN24963,"Box 01\Street No. W'Hill A-F\Beech House, Soames Lane, Ropley, Alresford, SO24 0ER.pdf","Beech House, Soames Lane, Ropley, Alresford, SO24 0ER",100060259873,465203.3,130991.4
JN24963,"Box 05\Ropley\Chalk Ridge Cottage, Soames Lane, Ropley, Alresford, SO24 0ER.pdf","Chalk Ridge Cottage, Soames Lane, Ropley, Alresford, SO24 0ER",100060259881,465583.3,130712.9
JN24963,"Box 01\Street No. W'Hill A-F\Bag End, Soames Lane, Ropley, Alresford, SO24 0ER.pdf","Bag End, Soames Lane, Ropley, Alresford, SO24 0ER",100060259886,465565.1,130710.8
JN24963,"Box 02\Street No. M'Stead Newton Valence\Lanns House, Soames Lane, Ropley, Alresford, SO24 0ER.pdf","Lanns House, Soames Lane, Ropley, Alresford, SO24 0ER",100060259889,465099.4,131140.9
JN24963,"Box 05\Ropley\Great Mount, Soames Lane, Ropley, Alresford, SO24 0ER.pdf","Great Mount, Soames Lane, Ropley, Alresford, SO24 0ER",100060259901,465777.9,130642.4
JN24963,"Box 05\Ropley\Willow Cottage, Soames Lane, Ropley, Alresford, SO24 0ER.pdf","Willow Cottage, Soames Lane, Ropley, Alresford, SO24 0ER",100060259902,465184.045,131068.45
JN24963,"Box 05\Ropley\Hartfield, Swelling Hill, Ropley, Alresford, SO24 0DA.pdf","Hartfield, Swelling Hill, Ropley, Alresford, SO24 0DA",100060259931,466461,133069
JN24963,"Box 02\Street No. M'Stead Newton Valence\Hawkstone, Swelling Hill, Ropley, Alresford, SO24 0DA.pdf","Hawkstone, Swelling Hill, Ropley, Alresford, SO24 0DA",100060259937,465582,132604
JN24963,"Box 01\Street No. W'Hill A-F\Highlands, Swelling Hill, Ropley, Alresford, SO24 0DA.pdf","Highlands, Swelling Hill, Ropley, Alresford, SO24 0DA",100060259939,466593,133084
JN24963,"Box 11\Street No. Froxfield, G'Shott, Hawkley\Alexanders Farmhouse, Alexanders Lane, Privett, Alton, GU34 3PW.pdf","Alexanders Farmhouse, Alexanders Lane, Privett, Alton, GU34 3PW",100060260205,469924.575,128038.095
JN24963,"Box 11\Street No. Four Marks\Conway, Alton Lane, Four Marks, Alton, GU34 5AL.pdf","Conway, Alton Lane, Four Marks, Alton, GU34 5AL",100060260258,467712.7,134687.4
JN24963,"Box 13\Street No. Alton A-G\Wyckham House, 19 Anstey Lane, Alton, GU34 2NB.pdf","Wyckham House, 19 Anstey Lane, Alton, GU34 2NB",100060260336,472358,140400
